key,ssn,height,weight,name,admitted,birthday,phone,email,gender,occupation
1,053-54-8604,912.97,260.83,Melanie Gonzalez,1970-08-14,2014-11-26,483-872-4182,tturner@example.net,Non-binary,Nutritional therapist
2,658-44-1955,326.95,350.64,Crystal Porter,2003-03-23,1915-10-22,(992)450-7971x56263,jennifer27@example.org,Female,"Therapist, speech and language"
3,110-94-0920,48.09,839.79,Jonathan Robinson,1980-04-20,1998-07-30,410-659-1884,jeffreyarellano@example.net,Female,Clinical research associate
4,231-56-3098,709.69,531.55,Emily Fisher,1998-06-28,2000-11-15,672-237-3929x1187,bflores@example.org,Non-binary,Make
5,160-95-1371,706.73,970.04,John Mendez,1971-12-03,1995-05-07,396.926.7510x5127,dianawallace@example.net,Non-binary,Youth worker
6,619-72-8543,879.23,652.26,Jennifer Green,1986-10-17,1936-05-28,626.502.6335,sarahedwards@example.net,Male,Commissioning editor
7,501-91-1071,81.75,297.27,Ruben Bryant,2007-06-07,1916-03-11,8197636846,ramirezsamuel@example.org,Non-binary,"Producer, television/film/video"
8,303-99-4900,3.95,465.75,Ricardo Phillips,1989-01-05,1930-03-08,(482)668-7400x8502,kurt84@example.net,Female,Personal assistant
9,805-63-8633,885.18,66.10,Nichole Edwards,2022-08-19,1957-10-19,(916)430-4853x12251,david12@example.net,Female,IT sales professional
10,894-55-0422,979.45,346.92,Kenneth Leblanc,1983-01-02,2006-07-18,001-934-258-9386x2580,lcamacho@example.com,Female,"Nurse, adult"
